N;par;seq
400;1; 1; 0; 0; 0; 0; 1; 3; 2; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1960;2; 3; 2; 1; 1; 2; 2; 1; 2; 1;2; 2; 2; 3; 2; 2; 2; 2; 2; 2
3520;3; 3; 3; 7; 4; 4; 3; 4; 3; 3;9; 9; 9; 9; 9; 9; 9; 9; 9; 9
5080;14; 10; 11; 6; 7; 5; 5; 5; 7; 6;18; 18; 18; 18; 18; 18; 18; 18; 18; 18
6640;9; 11; 9; 9; 15; 9; 9; 10; 9; 9;32; 32; 32; 32; 32; 32; 32; 32; 32; 32
8200;23; 22; 22; 14; 24; 22; 22; 20; 20; 14;70; 48; 48; 48; 48; 49; 48; 48; 48; 48
9760;31; 19; 32; 19; 32; 27; 32; 19; 31; 21;69; 69; 69; 69; 69; 69; 69; 69; 69; 69
11320;42; 46; 47; 42; 42; 42; 31; 38; 42; 48;113; 93; 93; 93; 93; 93; 93; 93; 93; 93
12880;32; 53; 54; 60; 54; 54; 32; 54; 31; 32;120; 120; 120; 120; 120; 120; 120; 120; 120; 120
14440;68; 61; 64; 67; 65; 66; 68; 67; 62; 61;171; 151; 151; 151; 151; 151; 151; 151; 151; 151
16000;77; 82; 81; 82; 82; 71; 82; 82; 78; 72;206; 186; 186; 186; 179; 165; 154; 144; 135; 128
